title,body
fix: numpy deprecated aliases,"### replace old numpy aliases with the new ones.
code currently breaks with the latest numpy release.
https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations"
Python 3 support,"Hi, 

the docs refer that this project is based on python 2.7. Did you test it already on python 3 and it should run there also?"
apex dependency in the age of PyTorch 1.6,"I'm seeing [this exception](https://github.com/HewlettPackard/dlcookbook-dlbs/blob/10f379be926907c784778fd1c79bb696b383f1a1/python/pytorch_benchmarks/benchmarks.py#L43) when running dlbs with PyTorch 1.6.  Supposedly, much of apex's functionality was rolled into [PyTorch 1.6](https://github.com/NVIDIA/apex/issues/502#issuecomment-535674172).  If so, this dependency can likely be removed?"
Support for new Docker runtime (Docker 19.03),"I went through https://hewlettpackard.github.io/dlcookbook-dlbs/#/runtimes/runtimes?id=runtimes and noticed that the new `docker run --gpus all` format for Docker 19.03 is not supported. 

Is there any plans to modify your code to support that? Thanks.

Reference:
https://github.com/NVIDIA/nvidia-docker"
singularity support,"DL benchmarks could also get executed within HPC environments.
Often singularity is the container engine used within HPC therefore singularity should be supported.

https://sylabs.io/singularity/"
remove deprecated parameter shared_param,"In the latest version of apex, shared_param is no longer supported as an option.

Error message:
```
Critical error while running benchmarks (shared_param is no longer supported as an option.  It was misleadingly named from the start.  It turns out overlapping communication with computation should work fine with shared parameters.  If you still wish to delay communication to the end of the backward pass, use delay_allreduce=True|False instead.). See stacktrace below.
Traceback (most recent call last):
  File ""dlcookbook-dlbs/python/pytorch_benchmarks/benchmarks.py"", line 411, in main
    model_title, times = benchmark(opts)
  File ""dlcookbook-dlbs/python/pytorch_benchmarks/benchmarks.py"", line 93, in benchmark
    return benchmark_training(model, opts)
  File ""dlcookbook-dlbs/python/pytorch_benchmarks/benchmarks.py"", line 213, in benchmark_training
    model = DDP(model, shared_param=True)
  File ""/opt/conda/lib/python3.6/site-packages/apex-0.1-py3.6.egg/apex/parallel/distributed.py"", line 190, in __init__
    raise ValueError(""shared_param is no longer supported as an option.  It was misleadingly named from the start.  It turns out overlapping communication with computation should work fine with shared parameters.  If you still wish to delay communication to the end of the backward pass, use delay_allreduce=True|False instead."")
```"
SW/HW configuration: replica batch size problem,"Hello!!

I'm using ubuntu 18.04, and I followed Quick Start from https://hewlettpackard.github.io/dlcookbook-dlbs/#/. But it didn't work.  I already changed replica batch size to 1 and also num_batches to 1.
How can I solve this problem?

command:
![image](https://user-images.githubusercontent.com/17540844/52535115-e826b400-2d8d-11e9-8639-66147893e7e6.png)

error:
![image](https://user-images.githubusercontent.com/17540844/52532576-f6170d80-2d6a-11e9-8e7c-45ea6f43b222.png)

Thank you."
validation,"Hi,
I am trying to run validation bench marking for inference and accuracy.Following are my configuration.
Sytsem: CPU- Ubuntu 16.04
Framework: tensorflow: 
model: alexnet
Action: validation inference time and accuracy

After running the experimenter.py , I got following error.I put some log to check that but tensorflow.launcher is getting as KeyError.

Below is the line of code that is getting error in launcher.py
```
 framework_key = 'exp.framework_family'
            if framework_key not in experiment:
                framework_key = 'exp.framework'
                print((experiment[framework_key]))
            command = [experiment['%s.launcher' % (experiment[framework_key])]]
```
following are the command and log.
```


python python/dlbs/experimenter.py run --log-level=error -Pexp.num_warmup_batches=10 -Pexp.num_batches=100 -Pexp.framework='""tensorflow""' -Pexp.docker=true -Pexp.replica_batch=16 -Pexp.gpus='""""' -Vexp.model='[""alexnet""]' -Pexp.docker_image='""hpe/tensorflow:cpu""' -Vexp.phase='[""training""]' -Pexp.log_file='""./benchmarks/my_experiment/tf.log""' 

--------------------------------------------------------------
Experimenter pid 15397. Run this to gracefully terminate me:
	kill -USR1 15397
I will terminate myself as soon as current benchmark finishes.
--------------------------------------------------------------
Traceback (most recent call last):
  File ""python/dlbs/experimenter.py"", line 368, in <module>
    experimenter.execute()
  File ""python/dlbs/experimenter.py"", line 337, in execute
    Launcher.run(self.plan, self.__progress_file)
  File ""/home/brgupta/workspace/dlbs/python/dlbs/launcher.py"", line 198, in run
    command = [experiment['%s.launcher' % (experiment[framework_key])]]
KeyError: u'tensorflow.launcher'

```

It's very common error in python when key doesn't exist but here in command line I am giving correct.Please let me understand on this error.

Thanks in advance."
"SyntaxError: invalid syntax in File ""/workspace/mxnet_benchmarks/benchmarks.py"", line 390","hi,Here I come again.I used the mxnet framework, there was a syntax error.
my  command：
```
 python $experimenter run --log-level=warning -Pexp.framework='""mxnet""' -Pexp.gpus='0'  \
-Pexp.docker=true -Pmonitor.frequency=0.1 -Vexp.replica_batch='[16]' -Pexp.num_warmup_batches=10\
-Pexp.num_batches=10 -Pmxnet.cudnn_autotune='""false""' -Vexp.model='[""alexnet""]' \
-Pexp.phase='""training""'  \
-Pexp.log_file='""${BENCH_ROOT}/mxnet/${exp.model}_${exp.effective_batch}.log""'\
-Pmxnet.docker_image='""nvcr.io/nvidia/mxnet:18.11-py3""'
```

error:
```
__results.start_time__= ""2018-12-18:08:54:20:839""
  File ""/workspace/mxnet_benchmarks/benchmarks.py"", line 390
    except Exception, e:
                    ^
SyntaxError: invalid syntax
```
@sergey-serebryakov "
add --save_file argument to save image,"- added option to save file instead of display
- this option helps to save an image for documentation as well as working on a headless machine

Signed-off-by: Insop Song <insop.song@gmail.com>"
